RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds,DateKey,Result,red_fighter_tag,blue_fighter_tag,DateKey2
Alexander Volkanovski,Diego Lopes,,,,,01/31/2026,"Sydney, New South Wales, Australia",Australia,Red,True,Featherweight,MALE,5,0,1,0,3.83,.47,1.4,0.88,0.5,5,3,22,1,0,0,2,3,1,0,6,Orthodox,180.34,182.88,145,0,1,0,5.99,.57,0.2,1.63,0.34,12,3,58,10,0,1,8,5,0,0,14,Orthodox,167.64000000000001,180.34,145,37,31,0,0,-7,-8,0,-36,-9,-2,1,12.699999999999989,2.539999999999992,-6,-2.16,1.2,-0.7499999999999999,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,5,5:00,1500,,,,,,,Jan_31_26_alexander_volkanovski_diego_lopes,3,alexander_volkanovski,diego_lopes,Jan_31_26_diego_lopes_alexander_volkanovski
Dan Hooker,Benoit Saint Denis,,,,,01/31/2026,"Sydney, New South Wales, Australia",Australia,Blue,False,Lightweight,MALE,3,0,3,0,5.62,.58,1.8,4.19,0.35,5,3,20,0,0,0,0,4,4,0,8,Southpaw,180.34,185.42000000000002,155,1,0,0,4.82,.48,0.6,0.68,0.33,4,9,53,0,0,3,2,7,2,0,14,Switch,182.88,190.5,155,35,30,-1,3,1,-6,-6,-33,0,-3,2,-2.539999999999992,-5.079999999999984,-5,0.7999999999999998,1.2000000000000002,3.5100000000000002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Punches,2,4:45,585,,,,,,,Jan_31_26_dan_hooker_benoit_saint_denis,4,dan_hooker,benoit_saint_denis,Jan_31_26_benoit_saint_denis_dan_hooker
Rafael Fiziev,Mauricio Ruffy,,,,,01/31/2026,"Sydney, New South Wales, Australia",Australia,Blue,False,Lightweight,MALE,3,1,0,0,4.19,.58,0.0,0.00,0.0,4,1,10,0,0,0,1,3,0,0,4,Orthodox,180.34,190.5,155,0,1,0,4.71,.52,0.0,0.83,0.66,6,4,30,0,0,0,4,3,0,0,7,Switch,172.72,180.34,155,32,29,1,-1,-2,-3,-3,-20,0,0,0,7.6200000000000045,10.159999999999997,-3,-0.5199999999999996,0.0,-0.83,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Punches,2,4:30,570,,,,,,,Jan_31_26_rafael_fiziev_mauricio_ruffy,4,rafael_fiziev,mauricio_ruffy,Jan_31_26_mauricio_ruffy_rafael_fiziev
Tai Tuivasa,Tallison Teixeira,,,,,01/31/2026,"Sydney, New South Wales, Australia",Australia,Blue,False,Heavyweight,MALE,3,1,0,0,5.02,.64,0.0,2.48,0.3,2,1,3,0,0,0,0,2,0,0,2,Orthodox,200.66,210.82,258,5,0,0,3.66,.48,0.0,0.00,0.0,5,8,29,0,0,0,1,7,0,0,8,Southpaw,187.96,190.5,264,32,26,-4,0,-3,-6,-7,-26,0,-5,0,12.699999999999989,20.319999999999993,-6,1.3599999999999994,0.0,2.48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3,5:00,900,,,,,,,Jan_31_26_tai_tuivasa_tallison_teixeira,6,tai_tuivasa,tallison_teixeira,Jan_31_26_tallison_teixeira_tai_tuivasa
Quillan Salkilld,Jamie Mullarkey,,,,,01/31/2026,"Sydney, New South Wales, Australia",Australia,Red,False,Lightweight,MALE,3,0,1,0,4.10,.46,0.1,2.46,0.3,2,6,27,0,0,1,3,2,0,0,6,Orthodox,182.88,187.96,155,0,4,0,5.16,.57,0.8,7.95,0.36,4,0,8,0,0,0,2,2,0,0,4,Orthodox,182.88,190.5,155,26,31,0,-3,-2,2,6,19,0,0,0,0.0,-2.539999999999992,5,-1.0600000000000005,-0.7000000000000001,-5.49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUB,Neck Crank,1,3:02,182,,,,,,,Jan_31_26_quillan_salkilld_jamie_mullarkey,2,quillan_salkilld,jamie_mullarkey,Jan_31_26_jamie_mullarkey_quillan_salkilld
Junior Tafa,Billy Elekana,,,,,01/31/2026,"Sydney, New South Wales, Australia",Australia,Blue,False,Light Heavyweight,MALE,3,0,2,0,2.71,.56,0.8,0.85,0.22,2,1,6,0,0,0,1,0,1,0,2,Southpaw,190.5,195.58,205,1,0,0,3.41,.51,0.0,0.00,0.0,1,4,11,0,0,0,0,2,0,0,2,Orthodox,190.5,190.5,205,29,30,-1,2,1,0,-3,-5,0,-2,1,0.0,5.0800000000000125,1,-0.7000000000000002,0.8,0.85,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUB,Rear Naked Choke,2,3:18,498,,,,,,,Jan_31_26_junior_tafa_billy_elekana,5,junior_tafa,billy_elekana,Jan_31_26_billy_elekana_junior_tafa
Cam Rowston,Cody Brundage,,,,,01/31/2026,"Sydney, New South Wales, Australia",Australia,Red,False,Middleweight,MALE,3,1,0,1,2.29,.50,0.6,1.87,0.44,2,7,24,0,0,0,0,3,1,0,5,Orthodox,182.88,182.88,185,0,2,0,4.26,.46,0.5,0.50,0.5,2,1,5,0,0,0,0,2,0,0,2,Orthodox,190.5,198.12,185,31,31,1,-2,0,3,6,19,0,1,1,-7.6200000000000045,-15.240000000000009,0,-1.9699999999999998,0.09999999999999998,1.37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Punches,2,4:08,548,,,,,,,Jan_31_26_cam_rowston_cody_brundage,1,cam_rowston,cody_brundage,Jan_31_26_cody_brundage_cam_rowston
Jacob Malkoun,Torrez Finney,,,,,01/31/2026,"Sydney, New South Wales, Australia",Australia,Red,False,Middleweight,MALE,3,0,4,0,1.78,.54,0.8,6.86,0.59,4,0,9,0,0,1,1,1,1,0,4,Orthodox,172.72,190.5,185,0,1,0,4.55,.58,0.9,5.81,0.4,2,3,16,0,0,0,3,1,0,0,4,Orthodox,175.26,185.42000000000002,185,30,27,0,3,2,0,-3,-7,0,0,1,-2.539999999999992,5.079999999999984,-3,-2.7699999999999996,-0.09999999999999998,1.0500000000000007,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3,5:00,900,,,,,,,Jan_31_26_jacob_malkoun_torrez_finney,3,jacob_malkoun,torrez_finney,Jan_31_26_torrez_finney_jacob_malkoun
Jonathan Micallef,Oban Elliott,,,,,01/31/2026,"Sydney, New South Wales, Australia",Australia,Red,False,Welterweight,MALE,3,1,0,0,3.62,.48,0.0,1.52,0.4,4,1,15,0,1,0,2,1,0,0,4,Orthodox,182.88,182.88,170,0,2,0,3.96,.41,1.1,1.13,0.66,2,0,4,0,0,0,1,0,1,0,2,Southpaw,182.88,195.58,170,26,28,1,-2,2,2,1,11,0,1,-1,0.0,-12.700000000000017,2,-0.33999999999999986,-1.1,0.3900000000000001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUB,Rear Naked Choke,2,3:31,511,,,,,,,Jan_31_26_jonathan_micallef_oban_elliott,2,jonathan_micallef,oban_elliott,Jan_31_26_oban_elliott_jonathan_micallef
Kaan Ofli,Yizha,,,,,01/31/2026,"Sydney, New South Wales, Australia",Australia,Red,False,Featherweight,MALE,3,0,1,0,3.25,.47,0.9,3.42,0.33,3,2,16,2,0,1,1,1,3,0,6,Orthodox,170.18,180.34,145,0,1,0,2.33,.45,0.4,0.38,0.07,1,2,6,1,0,0,0,0,1,0,1,Orthodox,170.18,167.64000000000001,145,32,29,0,0,2,5,0,10,1,1,2,0.0,12.699999999999989,-3,0.9199999999999999,0.5,3.04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M-DEC,,3,5:00,900,,,,,,,Jan_31_26_kaan_ofli_yizha,3,kaan_ofli,yizha,Jan_31_26_yizha_kaan_ofli
